Z_PK,Z_ENT,Z_OPT,ZKIND,ZMETADATA,ZTAG,ZHASPROCESS,ZBILLCYCLEEND,ZTIMESTAMP,ZWIFIIN,ZWIFIOUT,ZWWANIN,ZWWANOUT
1,5,1248806,255,0,1,32,,2021-04-12 22:51:16.389543,0.0,0.0,390434018830.0,846419321.0
73,5,1,0,0,0,33,,2020-06-26 13:24:05.922111,0.0,0.0,807.0,243.0
174,5,1,0,0,0,52,,2020-06-27 13:30:21.566259,0.0,0.0,200.0,60.0
175,5,1,0,0,0,101,,2020-06-27 13:30:21.541929,0.0,0.0,230.0,64.0
176,5,2,0,0,0,33,,2020-06-27 13:30:21.499958,0.0,0.0,2940.0,966.0
177,5,1,0,0,0,43,,2020-06-27 13:30:21.576906,0.0,0.0,179.0,68.0
202,5,1,0,0,0,38,,2020-06-27 16:25:04.331384,0.0,0.0,230.0,64.0
203,5,1,0,0,0,41,,2020-06-27 16:25:04.295629,0.0,0.0,92.0,60.0
379,5,1,0,0,0,43,,2020-06-29 11:25:57.457778,0.0,0.0,344.0,137.0
380,5,1,0,0,0,52,,2020-06-29 11:25:57.421645,0.0,0.0,200.0,60.0
381,5,1,0,0,0,33,,2020-06-29 11:25:57.122853,0.0,0.0,2354.0,772.0
382,5,1,0,0,0,50,,2020-06-29 11:25:57.072823,0.0,0.0,281.0,201.0
383,5,1,0,0,0,60,,2020-06-29 11:25:57.357829,0.0,0.0,230.0,64.0
799,5,3272,1,0,0,253,,2020-07-04 00:25:28.165995,0.0,0.0,137054957.0,0.0
807,5,1,0,0,0,52,,2020-07-04 01:57:09.280560,0.0,0.0,200.0,60.0
808,5,1,0,0,0,33,,2020-07-04 01:57:08.457606,0.0,0.0,2291.0,729.0
1372,5,1,0,0,0,33,,2020-07-11 10:54:00.589265,0.0,0.0,121.0,66.0
2179,5,1,0,0,0,33,,2020-07-15 22:57:15.262862,0.0,0.0,345.0,129.0
4469,5,1,0,0,0,47,,2020-07-29 19:35:05.460747,0.0,0.0,1681.0,2995.0
4470,5,1,0,0,0,55,,2020-07-29 19:35:05.127332,0.0,0.0,0.0,388.0
10944,5,1,0,0,0,33,,2020-09-16 22:17:41.614158,0.0,0.0,320.0,125.0
13082,5,1,0,0,0,55,,2020-09-30 18:08:21.220022,0.0,0.0,0.0,264.0
13083,5,1,0,0,0,39,,2020-09-30 18:08:21.224531,0.0,0.0,1142.0,6779.0
13084,5,1,0,0,0,44,,2020-09-30 18:08:21.211381,0.0,0.0,0.0,607.0
13085,5,1,0,0,0,33,,2020-09-30 18:08:21.216604,0.0,0.0,0.0,680.0
13086,5,1,0,0,0,43,,2020-09-30 18:08:21.222171,0.0,0.0,0.0,2240.0
