Z_PK,Z_ENT,Z_OPT,ZFIRSTTIMESTAMP,ZTIMESTAMP,ZBUNDLENAME,ZPROCNAME,ZEQUALTIMESTAMP
1,7,1,2020-03-20 19:45:11.813780,2020-03-20 19:45:11.813780,com.apple.Fitness,1FB47783-A2FE-47D9-B256-DF50EF44BBA4/com.apple.Fitness,1
2,7,1,2020-03-20 19:45:11.814008,2020-03-20 19:45:11.814009,com.apple.tv,1FB47783-A2FE-47D9-B256-DF50EF44BBA4/com.apple.tv,0
3,7,1,2020-03-20 19:45:11.811013,2020-03-20 19:45:11.811013,com.apple.tips,1FB47783-A2FE-47D9-B256-DF50EF44BBA4/com.apple.tips,1
4,7,1,2020-03-20 19:45:11.813240,2020-03-20 19:45:11.813241,com.apple.Home,1FB47783-A2FE-47D9-B256-DF50EF44BBA4/com.apple.Home,0
5,7,1,2020-03-20 19:45:11.812504,2020-03-20 19:45:11.812504,com.apple.mobilenotes,1FB47783-A2FE-47D9-B256-DF50EF44BBA4/com.apple.mobilenotes,1
6,7,1,2020-03-20 19:45:11.814093,2020-03-20 19:45:11.814093,com.apple.findmy,1FB47783-A2FE-47D9-B256-DF50EF44BBA4/com.apple.findmy,1
7,7,1,2020-03-20 19:45:11.812340,2020-03-20 19:45:11.812340,com.apple.Music,1FB47783-A2FE-47D9-B256-DF50EF44BBA4/com.apple.Music,1
8,7,1,2020-03-20 19:45:11.809976,2020-03-20 19:45:11.810040,com.apple.stocks,1FB47783-A2FE-47D9-B256-DF50EF44BBA4/com.apple.stocks,0
9,7,1,2020-03-20 19:45:11.810540,2020-03-20 19:45:11.810540,com.apple.Maps,1FB47783-A2FE-47D9-B256-DF50EF44BBA4/com.apple.Maps,1
10,7,1,2020-03-20 19:45:11.811176,2020-03-20 19:45:11.811176,com.apple.mobilesafari,1FB47783-A2FE-47D9-B256-DF50EF44BBA4/com.apple.mobilesafari,1
11,7,1,2020-03-20 19:45:11.812158,2020-03-20 19:45:11.812158,com.apple.mobilecal,1FB47783-A2FE-47D9-B256-DF50EF44BBA4/com.apple.mobilecal,1
12,7,1,2020-03-20 19:45:11.810725,2020-03-20 19:45:11.810725,com.apple.AppStore,1FB47783-A2FE-47D9-B256-DF50EF44BBA4/com.apple.AppStore,1
