id,application_identifier
1,com.apple.AppStore
2,com.apple.MobileAddressBook
5,com.apple.DocumentsApp
6,com.apple.BusinessChatViewService
7,com.apple.VoiceMemos
8,com.apple.camera
10,com.apple.tips
11,com.apple.podcasts
12,com.apple.datadetectors.DDActionsService
14,com.apple.mobilecal
15,com.apple.Maps
17,com.apple.MobileStore
19,com.apple.facetime
21,com.apple.Bridge
22,com.apple.findmy
23,com.apple.iBooks
24,com.apple.Home
25,com.apple.Music
26,com.apple.Health
27,com.apple.measure
29,com.apple.compass
30,com.apple.news
31,com.apple.tv
32,com.apple.Magnifier
33,com.apple.reminders
34,com.apple.mobilenotes
35,com.apple.stocks
36,com.apple.mobilephone
37,com.apple.shortcuts
38,com.apple.MobileSMS
39,com.apple.mobilemail
40,com.apple.mobilesafari
41,com.apple.mobileslideshow
42,com.apple.mobiletimer
43,com.apple.Passbook
45,com.apple.Preferences
46,com.apple.social.SLYahooAuth
48,com.apple.ScreenSharingViewService
50,com.apple.siri
52,com.apple.webapp
53,com.apple.WebSheet
55,com.apple.SafariViewService
56,com.apple.CTCarrierSpaceAuth
57,com.apple.MailCompositionService
58,com.apple.susuiservice
59,com.apple.CarPlaySplashScreen
60,com.apple.WebContentFilter.remoteUI.WebContentAnalysisUI
61,com.apple.AppSSOUIService
62,com.apple.CompassCalibrationViewService
63,com.apple.FontInstallViewService
64,com.apple.SharingViewService
65,com.apple.Spotlight
66,com.apple.sidecar
67,com.apple.calculator
68,com.apple.family
69,com.apple.InCallService
70,com.apple.CheckerBoard
71,com.apple.AXUIViewService
72,com.apple.PreBoard
73,com.apple.AccountAuthenticationDialog
74,com.apple.ScreenshotServicesService
75,com.apple.HealthPrivacyService
76,com.apple.SharedWebCredentialViewService
77,com.apple.DataActivation
78,com.apple.AskPermissionUI
79,com.apple.TVAccessViewService
80,com.apple.weather
81,com.apple.ios.StoreKitUIService
82,com.apple.CTNotifyUIService
83,com.apple.VSViewService
84,com.apple.PrintKit.Print-Center
85,com.apple.fieldtest
86,com.apple.CoreAuthUI
87,com.apple.PassbookUIService
88,com.apple.SIMSetupUIService
89,com.apple.purplebuddy
90,com.apple.CloudKit.ShareBear
91,com.apple.mobilesms.compose
92,com.apple.DiagnosticsService
93,com.apple.iMessageAppsViewService
94,com.apple.AuthKitUIService
95,com.apple.MusicUIService
96,com.apple.DemoApp
97,com.apple.gamecenter.GameCenterUIService
99,com.apple.store.Jolly
100,com.apple.clips
102,com.apple.Keynote
103,com.apple.Numbers
104,com.apple.Pages
106,com.apple.itunesu
107,net.whatsapp.WhatsApp
108,com.google.Gmail
109,org.iggymedia.periodtracker
110,com.burbn.instagram
112,com.google.Drive
113,es.lacaixa.mobile.imaginBank
114,com.google.ios.youtube
115,com.spotify.client
116,com.google.Maps
117,com.tezzanyc.Tezza
122,com.apple.dt.XcodePreviews
123,com.apple.RemoteiCloudQuotaUI
124,com.apple.SubcredentialUIService
126,com.zhiliaoapp.musically
139,com.apple.HealthENBuddy
140,com.apple.HealthENLauncher
141,com.apple.PublicHealthRemoteUI
145,com.apple.Translate
148,com.apple.Photos.PhotosUIService
149,com.apple.shortcuts.runtime
150,com.apple.icq
151,com.apple.SleepLockScreen
152,com.apple.PassbookSecureUIService
153,com.apple.CredentialSharingService
154,com.apple.ctkui
155,com.apple.TrustMe
156,com.apple.ScreenTimeWidgetApplication
163,com.shazam.Shazam
167,lt.manodrabuziai.fr
189,com.nianticlabs.pokemongo
196,com.vilcsak.bitcoin2
204,com.google.chrome.ios
216,com.apple.AuthenticationServicesUI
217,com.apple.icloud.FindMyDevice.FindMyExtensionContainer
232,zzkko.com.ZZKKO
236,com.google.GoogleMobile
239,com.linkedin.LinkedIn
241,com.chromatech.chroma
242,com.tribab.tricount.test
243,com.apple.CarPlayWallpaper
244,com.apple.FMDMagSafeSetupRemoteUI
245,com.apple.PaperBoard
246,com.apple.Health.Sleep
247,com.apple.FaceTimeLinkTrampoline
248,com.apple.AAUIViewService
249,com.apple.MTLReplayer
250,com.apple.HDSViewService
251,com.apple.HomeCaptiveViewService
252,com.apple.CompanionAuthViewService
269,com.buscounchollo.viajes
270,com.secondhanding.WallaPop
271,com.yourcompany.PPClient
272,RNI.Rni-Films
273,com.apple.PeopleMessageService
274,com.apple.PosterBoard
275,com.apple.CBRemoteSetup
276,com.apple.PassbookUISceneService
277,com.apple.MediaRemoteUI
278,com.apple.findmy.remoteuiservice
279,com.apple.ShortcutsUI
280,com.apple.AXRemoteViewService
281,com.apple.DiagnosticsReporter
282,com.apple.ShazamViewService
284,com.apple.Sharing.AirDropUI
286,com.apple.ClockAngel
288,com.apple.BacklinkIndicator
289,com.apple.SpringBoardEducation
294,com.apple.SystemPaperViewService
299,com.apple.Fitness
300,zurich.seguros
301,co.visualsupply.cam
302,dazz.camera.vintagecamera
303,com.netflix.Netflix
304,com.apple.mobilegarageband
305,com.inditex.zara.iphone
306,pinterest
307,AlexisBarreyat.BeReal
308,com.apple.BarcodeScanner
309,com.apple.Diagnostics
310,com.apple.ClipViewService
311,com.apple.FTMInternal
312,com.apple.AMSEngagementViewService
313,com.apple.appleseed.FeedbackAssistant
314,com.apple.SOSBuddy
315,com.apple.Home.HomeControlService
316,com.apple.ScreenTimeUnlock
317,com.apple.StoreDemoViewService
318,com.apple.CarPlaySettings
319,com.apple.Home.HomeUIService
320,com.apple.TVRemoteUIService
321,com.apple.iMovie
322,com.moonsted.TGTG
323,com.airbnb.app
324,com.inditex.pullbear
326,com.justeat.JUSTEAT
327,es.aeat.pin24h
328,cat.gencat.mobi.lamevasalut
329,com.provisport.provis
330,com.aplifitplay.AplifitPlayApp
