id,application_identifier,key,value
102,55,3,b'bplist00\xd3\x01\x02\x03\x04\x05\x06Tguid_\x10\x11installInstanceIDTvers_\x10$628DD5BE-7D97-476A-B4D1-25F5B16736AE_\x10+file:///Applications/SafariViewService.app/\x10\x05\x08\x0f\x14(-T\x82\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x84'
103,56,3,"b'bplist00\xd3\x01\x02\x03\x04\x05\x06Tguid_\x10\x11installInstanceIDTvers_\x10$628DD5BE-7D97-476A-B4D1-25F5B16736AE_\x10,file:///Applications/CTCarrierSpaceAuth.app/\x10\x05\x08\x0f\x14(-T\x83\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x85'"
104,57,3,b'bplist00\xd3\x01\x02\x03\x04\x05\x06Tguid_\x10\x11installInstanceIDTvers_\x10$628DD5BE-7D97-476A-B4D1-25F5B16736AE_\x100file:///Applications/MailCompositionService.app/\x10\x05\x08\x0f\x14(-T\x87\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x89'
105,58,3,b'bplist00\xd3\x01\x02\x03\x04\x05\x06Tguid_\x10\x11installInstanceIDTvers_\x10$628DD5BE-7D97-476A-B4D1-25F5B16736AE_\x101file:///Applications/SoftwareUpdateUIService.app/\x10\x05\x08\x0f\x14(-T\x88\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x8a'
106,59,3,b'bplist00\xd3\x01\x02\x03\x04\x05\x06Tguid_\x10\x11installInstanceIDTvers_\x10$628DD5BE-7D97-476A-B4D1-25F5B16736AE_\x10-file:///Applications/CarPlaySplashScreen.app/\x10\x05\x08\x0f\x14(-T\x84\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x86'
107,60,3,b'bplist00\xd3\x01\x02\x03\x04\x05\x06Tguid_\x10\x11installInstanceIDTvers_\x10$628DD5BE-7D97-476A-B4D1-25F5B16736AE_\x10.file:///Applications/WebContentAnalysisUI.app/\x10\x05\x08\x0f\x14(-T\x85\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x87'
108,61,3,b'bplist00\xd3\x01\x02\x03\x04\x05\x06Tguid_\x10\x11installInstanceIDTvers_\x10$628DD5BE-7D97-476A-B4D1-25F5B16736AE_\x10)file:///Applications/AppSSOUIService.app/\x10\x05\x08\x0f\x14(-T\x80\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x82'
109,62,3,b'bplist00\xd3\x01\x02\x03\x04\x05\x06Tguid_\x10\x11installInstanceIDTvers_\x10$628DD5BE-7D97-476A-B4D1-25F5B16736AE_\x107file:///Applications/CompassCalibrationViewService.app/\x10\x05\x08\x0f\x14(-T\x8e\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x90'
110,63,3,b'bplist00\xd3\x01\x02\x03\x04\x05\x06Tguid_\x10\x11installInstanceIDTvers_\x10$628DD5BE-7D97-476A-B4D1-25F5B16736AE_\x100file:///Applications/FontInstallViewService.app/\x10\x05\x08\x0f\x14(-T\x87\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x89'
111,64,3,"b'bplist00\xd3\x01\x02\x03\x04\x05\x06Tguid_\x10\x11installInstanceIDTvers_\x10$628DD5BE-7D97-476A-B4D1-25F5B16736AE_\x10,file:///Applications/SharingViewService.app/\x10\x05\x08\x0f\x14(-T\x83\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x07\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x85'"
