Z_PK,Z_ENT,Z_OPT,ZSIZEINBYTES,ZCREATIONDATE,ZCONTENTTEXT,ZPHOTOLOCALIDENTIFIER,ZUTI,ZCLOUDIDENTIFIER,ZCONTENTURL,ZIDENTIFIER
1,1,2,0,,,,com.apple.quicktime-movie,,,
2,1,2,0,,,,public.heic,,,
3,1,2,0,,,,com.apple.quicktime-movie,,,
4,1,2,0,,,,com.apple.private.live-photo-bundle,,,
5,1,2,0,,,,com.apple.private.live-photo-bundle,,,
6,1,2,0,,,,com.apple.quicktime-movie,,,
7,1,2,0,,,,public.jpeg,,,
8,1,2,0,,,,public.mpeg-4,,,
9,1,2,0,,,,public.jpeg,,,
10,1,2,0,,,,com.apple.quicktime-movie,,,
11,1,2,0,,,,com.apple.quicktime-movie,,,
12,1,2,0,,,,com.apple.quicktime-movie,,,
13,1,2,0,,,,com.apple.quicktime-movie,,,
14,1,2,0,,,,com.apple.quicktime-movie,,,
15,1,2,0,,,,com.apple.private.live-photo-bundle,,,
16,1,2,0,,,,com.apple.quicktime-movie,,,
17,1,2,0,,,,com.apple.quicktime-movie,,,
18,1,2,0,,,,com.apple.private.live-photo-bundle,,,
19,1,2,0,,,,public.heic,,,
20,1,2,0,,,,com.apple.private.live-photo-bundle,,,
21,1,2,0,,,,com.apple.quicktime-movie,,,
22,1,2,0,,,,public.jpeg,,,
23,1,2,0,,,,com.apple.quicktime-movie,,,
24,1,2,0,,,,com.apple.quicktime-movie,,,
25,1,2,0,,,,public.jpeg,,,
26,1,2,0,,,,com.apple.private.live-photo-bundle,,,
27,1,2,0,,,,com.apple.quicktime-movie,,,
28,1,2,0,,,,com.apple.quicktime-movie,,,
29,1,2,0,,,,com.apple.private.live-photo-bundle,,,
30,1,2,0,,,,com.apple.private.live-photo-bundle,,,
31,1,2,0,,,,com.apple.quicktime-movie,,,
32,1,2,0,,,,com.apple.quicktime-movie,,,
33,1,2,0,,,,public.jpeg,,,
34,1,2,0,,,,com.apple.quicktime-movie,,,
35,1,2,0,,,,public.heic,,,
36,1,2,0,,,,public.jpeg,,,
37,1,2,0,,,,public.heic,,,
38,1,2,0,,,,public.jpeg,,,
39,1,2,0,,,,com.apple.quicktime-movie,,,
40,1,2,0,,,,com.apple.private.live-photo-bundle,,,
41,1,2,0,,,,public.heic,,,
42,1,2,0,,,,public.jpeg,,,
43,1,2,0,,,,com.apple.quicktime-movie,,,
44,1,2,0,,,,com.apple.private.live-photo-bundle,,,
45,1,2,0,,,,com.apple.quicktime-movie,,,
46,1,2,0,,,,com.apple.private.live-photo-bundle,,,
47,1,2,0,,,,com.apple.quicktime-movie,,,
48,1,2,0,,,,com.apple.quicktime-movie,,,
49,1,2,0,,,,public.jpeg,,,
50,1,2,0,,,,com.apple.private.live-photo-bundle,,,
51,1,2,0,,,,com.apple.quicktime-movie,,,
52,1,2,0,,,,com.apple.quicktime-movie,,,
53,1,2,0,,,,com.apple.private.live-photo-bundle,,,
54,1,2,0,,,,public.jpeg,,,
55,1,2,0,,,,com.apple.private.live-photo-bundle,,,
56,1,2,0,,,,com.apple.quicktime-movie,,,
57,1,2,0,,,,public.jpeg,,,
58,1,2,0,,,,com.apple.quicktime-movie,,,
59,1,2,0,,,,public.jpeg,,,
60,1,2,0,,,,com.apple.quicktime-movie,,,
61,1,2,0,,,,com.apple.private.live-photo-bundle,,,
62,1,2,0,,,,com.apple.quicktime-movie,,,
63,1,2,0,,,,com.apple.private.live-photo-bundle,,,
64,1,2,0,,,,public.heic,,,
65,1,2,0,,,,public.jpeg,,,
66,1,2,0,,,,com.apple.private.live-photo-bundle,,,
67,1,2,0,,,,com.apple.quicktime-movie,,,
68,1,2,0,,,,com.apple.private.live-photo-bundle,,,
69,1,2,0,,,,com.apple.quicktime-movie,,,
70,1,2,0,,,,com.apple.private.live-photo-bundle,,,
71,1,2,0,,,,public.heic,,,
