Z_1ATTACHMENTS,Z_3INTERACTIONS
2349,229613
2348,229613
2352,229614
2351,229614
2350,229614
2355,229615
2354,229615
2353,229615
2357,229822
2356,229822
2358,230094
2359,230535
2360,230698
2361,231539
2362,231552
2363,232767
2365,232973
2367,233436
2366,233436
2368,233801
2370,234614
2372,236457
2371,236457
2376,236681
2375,236681
2374,236681
2373,236681
2377,236843
2378,237451
2379,237798
2380,237902
2384,238166
2383,238166
2382,238166
2381,238166
2385,238614
2389,239221
2388,239221
2387,239221
2386,239221
2393,240220
2392,240220
2391,240220
2390,240220
2395,240228
2394,240228
2399,240320
2398,240320
2397,240320
2396,240320
2400,241886
2404,241908
2403,241908
2402,241908
2401,241908
2408,241911
2407,241911
2406,241911
2405,241911
2409,242057
2411,242403
2412,244274
2413,244275
2414,245009
2417,245255
2416,245255
2415,245255
2418,245404
2419,246651
2421,247568
2420,247568
2422,247586
2423,247606
2425,247608
2424,247608
2427,248218
2426,248218
2428,248661
2429,248667
2449,249057
2448,249057
2447,249057
2446,249057
2445,249057
2444,249057
2443,249057
2442,249057
2441,249057
2440,249057
2439,249057
2438,249057
2437,249057
2436,249057
2435,249057
2434,249057
2433,249057
2432,249057
2431,249057
2430,249057
2469,249058
2468,249058
2467,249058
2466,249058
2465,249058
2464,249058
2463,249058
2462,249058
2461,249058
2460,249058
2459,249058
2458,249058
2457,249058
2456,249058
2455,249058
2454,249058
2453,249058
2452,249058
2451,249058
2450,249058
2489,249059
2488,249059
2487,249059
2486,249059
2485,249059
2484,249059
2483,249059
2482,249059
2481,249059
2480,249059
2479,249059
2478,249059
2477,249059
2476,249059
2475,249059
2474,249059
2473,249059
2472,249059
2471,249059
2470,249059
2509,249060
2508,249060
2507,249060
2506,249060
2505,249060
2504,249060
2503,249060
2502,249060
2501,249060
2500,249060
2499,249060
2498,249060
2497,249060
2496,249060
2495,249060
2494,249060
2493,249060
2492,249060
2491,249060
2490,249060
2529,249061
2528,249061
2527,249061
2526,249061
2525,249061
2524,249061
2523,249061
2522,249061
2521,249061
2520,249061
2519,249061
2518,249061
2517,249061
2516,249061
2515,249061
2514,249061
2513,249061
2512,249061
2511,249061
2510,249061
2549,249062
2548,249062
2547,249062
2546,249062
2545,249062
2544,249062
2543,249062
2542,249062
2541,249062
2540,249062
2539,249062
2538,249062
2537,249062
2536,249062
2535,249062
2534,249062
2533,249062
2532,249062
2531,249062
2530,249062
2569,249063
2568,249063
2567,249063
2566,249063
2565,249063
2564,249063
2563,249063
2562,249063
2561,249063
2560,249063
2559,249063
2558,249063
2557,249063
2556,249063
2555,249063
2554,249063
2553,249063
2552,249063
2551,249063
2550,249063
2589,249064
2588,249064
2587,249064
2586,249064
2585,249064
2584,249064
2583,249064
2582,249064
2581,249064
2580,249064
2579,249064
2578,249064
2577,249064
2576,249064
2575,249064
2574,249064
2573,249064
2572,249064
2571,249064
2570,249064
2609,249065
2608,249065
2607,249065
2606,249065
2605,249065
2604,249065
2603,249065
2602,249065
2601,249065
2600,249065
2599,249065
2598,249065
2597,249065
2596,249065
2595,249065
2594,249065
2593,249065
2592,249065
2591,249065
2590,249065
2629,249066
2628,249066
2627,249066
2626,249066
2625,249066
2624,249066
2623,249066
2622,249066
2621,249066
2620,249066
2619,249066
2618,249066
2617,249066
2616,249066
2615,249066
2614,249066
2613,249066
2612,249066
2611,249066
2610,249066
2649,249067
2648,249067
2647,249067
2646,249067
2645,249067
2644,249067
2643,249067
2642,249067
2641,249067
2640,249067
2639,249067
2638,249067
2637,249067
2636,249067
2635,249067
2634,249067
2633,249067
2632,249067
2631,249067
2630,249067
2669,249068
2668,249068
2667,249068
2666,249068
2665,249068
2664,249068
2663,249068
2662,249068
2661,249068
2660,249068
2659,249068
2658,249068
2657,249068
2656,249068
2655,249068
2654,249068
2653,249068
2652,249068
2651,249068
2650,249068
2689,249069
2688,249069
2687,249069
2686,249069
2685,249069
2684,249069
2683,249069
2682,249069
2681,249069
2680,249069
2679,249069
2678,249069
2677,249069
2676,249069
2675,249069
2674,249069
2673,249069
2672,249069
2671,249069
2670,249069
2709,249070
2708,249070
2707,249070
2706,249070
2705,249070
2704,249070
2703,249070
2702,249070
2701,249070
2700,249070
2699,249070
2698,249070
2697,249070
2696,249070
2695,249070
2694,249070
2693,249070
2692,249070
2691,249070
2690,249070
2729,249071
2728,249071
2727,249071
2726,249071
2725,249071
2724,249071
2723,249071
2722,249071
2721,249071
2720,249071
2719,249071
2718,249071
2717,249071
2716,249071
2715,249071
2714,249071
2713,249071
2712,249071
2711,249071
2710,249071
2749,249072
2748,249072
2747,249072
2746,249072
2745,249072
2744,249072
2743,249072
2742,249072
2741,249072
2740,249072
2739,249072
2738,249072
2737,249072
2736,249072
2735,249072
2734,249072
2733,249072
2732,249072
2731,249072
2730,249072
2769,249073
2768,249073
2767,249073
2766,249073
2765,249073
2764,249073
2763,249073
2762,249073
2761,249073
2760,249073
2759,249073
2758,249073
2757,249073
2756,249073
2755,249073
2754,249073
2753,249073
2752,249073
2751,249073
2750,249073
2789,249074
2788,249074
2787,249074
2786,249074
2785,249074
2784,249074
2783,249074
2782,249074
2781,249074
2780,249074
2779,249074
2778,249074
2777,249074
2776,249074
2775,249074
2774,249074
2773,249074
2772,249074
2771,249074
2770,249074
2809,249075
2808,249075
2807,249075
2806,249075
2805,249075
2804,249075
2803,249075
2802,249075
2801,249075
2800,249075
2799,249075
2798,249075
2797,249075
2796,249075
2795,249075
2794,249075
2793,249075
2792,249075
2791,249075
2790,249075
2829,249076
2828,249076
2827,249076
2826,249076
2825,249076
2824,249076
2823,249076
2822,249076
2821,249076
2820,249076
2819,249076
2818,249076
2817,249076
2816,249076
2815,249076
2814,249076
2813,249076
2812,249076
2811,249076
2810,249076
2849,249077
2848,249077
2847,249077
2846,249077
2845,249077
2844,249077
2843,249077
2842,249077
2841,249077
2840,249077
2839,249077
2838,249077
2837,249077
2836,249077
2835,249077
2834,249077
2833,249077
2832,249077
2831,249077
2830,249077
2869,249078
2868,249078
2867,249078
2866,249078
2865,249078
2864,249078
2863,249078
2862,249078
2861,249078
2860,249078
2859,249078
2858,249078
2857,249078
2856,249078
2855,249078
2854,249078
2853,249078
2852,249078
2851,249078
2850,249078
2889,249079
2888,249079
2887,249079
2886,249079
2885,249079
2884,249079
2883,249079
2882,249079
2881,249079
2880,249079
2879,249079
2878,249079
2877,249079
2876,249079
2875,249079
2874,249079
2873,249079
2872,249079
2871,249079
2870,249079
2909,249080
2908,249080
2907,249080
2906,249080
2905,249080
2904,249080
2903,249080
2902,249080
2901,249080
2900,249080
2899,249080
2898,249080
2897,249080
2896,249080
2895,249080
2894,249080
2893,249080
2892,249080
2891,249080
2890,249080
2929,249081
2928,249081
2927,249081
2926,249081
2925,249081
2924,249081
2923,249081
2922,249081
