Z_2RECIPIENTS,Z_3INTERACTIONRECIPIENT
2535,229522
2535,229523
2535,229524
2535,229525
2535,229526
2535,229527
2535,229528
2535,229529
2535,229530
2535,229531
2535,229532
2535,229533
2535,229534
2535,229535
2535,229536
2535,229537
2535,229538
2535,229539
2535,229540
2535,229541
2535,229542
2535,229543
2535,229544
2535,229545
2535,229546
2535,229547
2535,229548
2535,229549
2535,229550
2535,229551
2535,229552
2535,229553
2535,229554
2535,229555
2535,229556
2535,229557
2535,229558
2535,229559
2535,229560
2535,229561
2535,229562
2535,229563
2535,229564
2535,229565
2535,229566
2535,229567
2535,229568
2535,229569
2535,229570
2535,229571
1964,229572
2535,229573
2535,229574
2535,229575
2535,229576
2535,229577
2535,229578
2535,229579
2535,229580
2535,229581
2535,229582
2535,229583
2535,229584
2535,229585
1966,229587
2535,229588
1964,229589
1966,229591
2535,229593
1966,229594
2535,229595
2535,229596
2535,229597
2535,229598
2535,229599
2535,229611
2535,229613
2535,229614
1966,229615
2535,229617
2535,229619
2535,229620
2535,229621
621,229622
621,229627
1966,229642
2535,229645
2214,229648
2214,229651
2214,229652
1966,229655
2214,229656
2214,229660
2214,229661
2214,229662
2214,229663
2214,229664
2535,229670
2535,229671
1966,229675
2214,229676
2214,229677
1966,229680
1966,229684
1967,229685
1966,229686
2214,229687
1966,229697
1967,229698
2214,229699
1967,229702
2214,229703
2214,229714
2214,229715
1998,229720
1998,229721
1998,229722
1998,229723
1998,229724
1998,229725
1998,229727
1998,229728
1998,229729
1998,229730
2214,229731
2148,229732
1998,229733
2148,229734
2148,229735
2148,229736
2535,229737
2535,229742
2535,229743
2535,229744
2535,229745
2214,229749
1998,229750
1998,229751
2148,229753
2535,229754
1998,229755
1998,229756
2214,229757
2214,229758
2148,229759
2535,229760
2535,229761
2148,229762
2148,229763
2535,229765
1998,229766
1998,229767
2148,229768
2148,229769
2535,229772
2535,229773
1998,229774
1998,229778
1998,229779
1998,229780
1998,229781
2214,229787
1998,229789
2535,229791
2535,229792
2535,229807
2535,229808
2535,229809
2535,229810
2535,229811
2535,229812
2535,229813
2535,229814
2535,229815
2535,229816
2535,229817
2535,229818
2535,229819
2535,229820
2148,229821
1998,229822
2535,229829
2535,229830
2535,229831
2535,229832
2535,229833
2535,229834
2148,229835
1967,229836
1967,229843
1967,229844
2148,229845
1967,229848
2535,229849
2535,229850
2535,229851
2535,229852
2535,229855
2535,229856
2535,229857
2535,229858
2535,229859
2535,229860
2535,229861
2535,229862
2535,229863
2535,229865
2535,229866
2535,229867
2535,229868
2535,229869
2535,229870
2535,229871
2535,229872
2535,229873
2535,229874
2535,229875
2535,229876
2535,229877
2535,229878
2535,229879
2535,229880
2535,229881
2474,229882
2535,229883
2535,229884
2535,229885
2535,229888
2535,229889
2535,229890
2535,229891
2535,229892
2535,229893
2535,229894
2535,229895
2535,229897
2535,229898
2535,229899
2535,229900
2535,229901
2535,229902
2535,229903
2535,229904
2535,229905
2535,229908
2535,229909
2535,229911
2535,229912
2535,229913
2535,229914
2535,229915
1966,229916
1966,229917
2535,229918
2535,229935
1991,229936
2535,229937
2535,229938
2535,229939
2535,229940
2535,229941
2535,229942
2535,229950
2535,229951
2535,229953
621,229954
621,229955
621,229956
621,229957
2535,229959
2535,229960
621,229963
2535,229964
2535,229968
2535,229969
2535,229970
2535,229973
621,229974
2535,229975
2535,229976
2535,229977
2535,229978
621,229979
2535,229980
2535,229983
2535,229987
2535,229988
2535,229989
2535,229990
2535,229991
2535,229992
2829,229993
2535,229994
2535,229995
2535,229996
2535,229997
2535,229998
2535,229999
2535,230000
2535,230001
2535,230002
2535,230003
2535,230004
2535,230005
2535,230006
2535,230007
2535,230008
2535,230009
2535,230010
2535,230011
2535,230012
2535,230013
2535,230014
2535,230015
2535,230016
2535,230017
2535,230018
2535,230027
2535,230028
2535,230035
2535,230036
2535,230037
2535,230038
2535,230039
2535,230040
2535,230041
2535,230042
2535,230043
2535,230044
2535,230045
2535,230046
2535,230047
2535,230048
2535,230049
2535,230050
1973,230051
1973,230052
2535,230053
2535,230054
2535,230055
2535,230056
2535,230057
2535,230058
2535,230059
2535,230060
2535,230061
2535,230062
2535,230063
2535,230064
2535,230065
2535,230066
2535,230067
2535,230068
2535,230069
2535,230070
2535,230071
2535,230072
2535,230073
2535,230074
1998,230076
2270,230077
2270,230078
1998,230081
1998,230082
1998,230083
1998,230084
2535,230085
1973,230086
1973,230087
1973,230088
1973,230089
1973,230090
2535,230092
2535,230093
2535,230094
2535,230095
2535,230096
2535,230099
2535,230100
1998,230102
1998,230103
1998,230104
1998,230105
1998,230106
1998,230107
2535,230108
1973,230109
2535,230112
1973,230114
2535,230115
2535,230117
2535,230118
2535,230119
2535,230120
2535,230121
2535,230122
2535,230123
2535,230124
2535,230125
2535,230126
2535,230127
2535,230128
2535,230129
2535,230130
2535,230132
