Z_PK,Z_ENT,Z_OPT,ZRATED,ZDATE,ZBUNDLEIDENTIFIER,ZBUNDLEVERSION
1,1,1,,2020-06-28 09:35:28.828109,net.whatsapp.WhatsApp,2.20.61
2,1,1,,2020-06-29 18:44:30.848363,com.spotify.client,8.5.60
3,1,1,,2020-07-01 17:55:26.340382,com.burbn.instagram,147.0
4,1,1,,2020-07-04 00:46:56.751850,com.google.Maps,5.46.0
5,1,1,,2020-07-06 19:08:56.119768,com.spotify.client,8.5.60
6,1,2,1.0,2020-07-13 23:40:49.027329,com.moonlab.unfoldstories,5.16
7,1,1,,2020-07-14 08:46:52.673469,com.spotify.client,8.5.65
8,1,1,,2020-07-20 10:14:11.315157,org.iggymedia.periodtracker,4.69.0
9,1,1,,2020-08-19 12:32:22.888597,instagramstory.maker.unfold,2.23.0
10,1,1,,2020-08-21 14:28:15.788304,pinterest,8.29
11,1,1,,2020-08-23 02:11:43.827493,com.mann.iMate,4.5.6
12,1,1,,2020-09-27 15:05:57.371573,com.quvideo.XiaoYing,8.4.5
13,1,1,,2020-09-28 14:26:15.670864,at.runtastic.gpssportapp,11.10
14,1,1,,2020-09-28 14:26:15.676932,at.runtastic.gpssportapp,11.10
15,1,1,,2020-10-27 18:45:21.001099,com.stickermaker.besticky,2.7
16,1,2,1.0,2020-10-27 18:51:43.919174,com.stickermaker.besticky,2.7
17,1,1,,2020-11-08 13:12:22.557316,com.burbn.instagram,165.0
18,1,1,,2020-11-08 23:11:21.206262,com.shazam.Shazam,13.28.0
19,1,1,,2020-11-10 22:59:12.948410,com.atebits.Tweetie2,8.41.1
20,1,1,,2020-11-14 22:03:34.082701,com.tulotero.loterias,3.7
21,1,1,,2020-11-16 21:58:35.883181,com.tulotero.loterias,3.7
22,1,1,,2020-11-19 16:52:59.536354,com.tulotero.loterias,3.7.1
23,1,1,,2020-11-21 01:01:42.171926,com.google.Drive,4.2020.44203
24,1,1,,2020-11-27 20:29:48.889388,com.google.ios.youtube,15.47.3
25,1,1,,2020-12-09 00:19:59.219221,es.lacaixa.mobile.imaginBank,4.3.0
26,1,1,,2020-12-09 00:19:59.833878,es.lacaixa.mobile.imaginBank,4.3.0
27,1,1,,2020-12-10 20:38:17.533292,es.lacaixa.mobile.imaginBank,4.3.0
28,1,1,,2021-01-01 13:25:38.877913,com.yourcompany.PPClient,7.35.0
29,1,1,,2021-01-01 13:32:23.035958,com.yourcompany.PPClient,7.35.0
30,1,1,,2021-01-02 16:34:33.454601,com.yourcompany.PPClient,7.35.0
31,1,1,,2021-01-10 12:40:28.256328,co.visualsupply.cam,198.1
32,1,1,,2021-01-23 19:55:44.991539,com.justeat.JUSTEAT.es,33.16.1
33,1,1,,2021-02-10 18:27:47.183402,com.shazam.Shazam,14.4.0
34,1,1,,2021-02-14 11:24:23.837380,co.visualsupply.cam,203
35,1,1,,2021-02-22 21:51:50.221634,com.indeed.JobSearch,82.0
36,1,1,,2021-03-06 12:56:58.931490,at.runtastic.gpssportapp,11.20
37,1,1,,2021-03-09 23:19:52.851197,com.burbn.instagram,177.0
38,1,2,1.0,2021-03-14 21:49:32.972966,com.vilcsak.bitcoin2,9.14.2
39,1,1,,2021-04-14 14:38:12.713536,com.google.ios.youtube,16.13.1
40,1,1,,2021-04-17 21:14:55.117295,com.adobe.lrmobilephone,6.2.1
41,1,1,,2021-04-17 21:56:55.862012,com.numft.iosfkxes,1.6
42,1,1,,2021-04-28 00:06:11.529453,com.duolingo.DuolingoMobile,6.113.0
43,1,1,,2021-05-18 14:42:15.202082,com.shazam.Shazam,14.10.0
44,1,1,,2021-05-30 11:31:06.746571,com.google.Drive,4.2021.18200
45,1,1,,2021-06-15 21:06:51.594843,co.visualsupply.cam,220.1
46,1,1,,2021-07-02 09:02:53.854539,com.spotify.client,8.6.30
47,1,1,,2021-07-11 01:18:46.851089,com.spotify.client,8.6.40
48,1,1,,2021-07-15 10:00:59.609348,com.burbn.instagram,196.0
49,1,1,,2021-07-19 10:39:40.065484,com.spotify.client,8.6.44
50,1,1,,2021-08-07 22:29:58.401052,com.buscounchollo.viajes,4.10.25
51,1,1,,2021-10-01 11:57:09.132048,at.runtastic.gpssportapp,12.5
52,1,1,,2021-10-06 22:47:23.089080,com.google.ios.youtube,16.38.2
