,media,created,last_modified
0,Media/DCIM/101APPLE/IMG_1350.JPG,09/02/2023,09/02/2023
1,Media/DCIM/101APPLE/IMG_1362.JPG,15/08/2022,15/08/2022
2,Media/DCIM/101APPLE/IMG_1463.HEIC,17/08/2022,17/08/2022
3,Media/DCIM/101APPLE/IMG_1463.MOV,17/08/2022,17/08/2022
4,Media/DCIM/101APPLE/IMG_1571.JPG,09/02/2023,09/02/2023
5,Media/DCIM/101APPLE/IMG_1738.JPG,15/08/2022,15/08/2022
6,Media/DCIM/102APPLE/IMG_2030.JPG,15/08/2022,15/08/2022
7,Media/DCIM/102APPLE/IMG_2061.JPG,15/08/2022,15/08/2022
8,Media/DCIM/102APPLE/IMG_2126.HEIC,09/02/2023,09/02/2023
9,Media/DCIM/102APPLE/IMG_2155.HEIC,23/11/2022,23/11/2022
10,Media/DCIM/102APPLE/IMG_2185.MOV,09/02/2023,09/02/2023
11,Media/DCIM/102APPLE/IMG_2187.MOV,09/02/2023,09/02/2023
12,Media/DCIM/102APPLE/IMG_2324.JPG,09/02/2023,09/02/2023
13,Media/DCIM/102APPLE/IMG_2326.JPG,17/08/2022,17/08/2022
14,Media/DCIM/102APPLE/IMG_2619.HEIC,17/08/2022,17/08/2022
15,Media/DCIM/102APPLE/IMG_2634.JPG,11/08/2022,11/08/2022
16,Media/DCIM/102APPLE/IMG_2639.MOV,30/01/2023,30/01/2023
17,Media/DCIM/103APPLE/IMG_3153.HEIC,08/02/2023,08/02/2023
18,Media/DCIM/103APPLE/IMG_3177.JPG,17/09/2022,17/09/2022
19,Media/DCIM/103APPLE/IMG_3457.JPG,03/09/2022,03/09/2022
20,Media/DCIM/104APPLE/IMG_4020.JPG,15/08/2022,15/08/2022
21,Media/DCIM/104APPLE/IMG_4557.HEIC,09/02/2023,09/02/2023
22,Media/DCIM/104APPLE/IMG_4724.JPG,15/08/2022,15/08/2022
23,Media/DCIM/104APPLE/IMG_4966.MOV,22/01/2023,22/01/2023
24,Media/DCIM/105APPLE/IMG_5138.MOV,02/02/2023,02/02/2023
25,Media/DCIM/105APPLE/IMG_5381.JPG,15/08/2022,15/08/2022
26,Media/DCIM/105APPLE/IMG_5395.HEIC,18/02/2023,18/02/2023
27,Media/DCIM/105APPLE/IMG_5791.HEIC,24/11/2022,24/11/2022
28,Media/DCIM/105APPLE/IMG_5820.HEIC,16/11/2022,16/11/2022
29,Media/DCIM/105APPLE/IMG_5825.HEIC,25/11/2022,25/11/2022
30,Media/DCIM/105APPLE/IMG_5828.HEIC,07/11/2022,07/11/2022
31,Media/DCIM/106APPLE/IMG_6195.JPG,17/09/2022,17/09/2022
32,Media/DCIM/106APPLE/IMG_6517.JPG,28/01/2023,28/01/2023
33,Media/DCIM/106APPLE/IMG_6521.JPG,03/10/2022,03/10/2022
34,Media/DCIM/106APPLE/IMG_6725.JPG,15/08/2022,15/08/2022
35,Media/DCIM/106APPLE/IMG_6942.JPG,17/09/2022,17/09/2022
36,Media/DCIM/107APPLE/IMG_7073.HEIC,18/11/2022,18/11/2022
37,Media/DCIM/107APPLE/IMG_7189.JPG,15/08/2022,15/08/2022
38,Media/DCIM/107APPLE/IMG_7485.HEIC,18/02/2023,18/02/2023
39,Media/DCIM/107APPLE/IMG_7488.HEIC,12/02/2023,12/02/2023
40,Media/DCIM/107APPLE/IMG_7752.JPG,15/08/2022,15/08/2022
41,Media/DCIM/107APPLE/IMG_7755.JPG,15/08/2022,15/08/2022
42,Media/DCIM/107APPLE/IMG_7975.JPG,15/08/2022,15/08/2022
43,Media/DCIM/108APPLE/IMG_8085.JPG,15/08/2022,15/08/2022
44,Media/DCIM/108APPLE/IMG_8358.JPG,10/11/2022,10/11/2022
45,Media/DCIM/108APPLE/IMG_8590.JPG,15/08/2022,15/08/2022
46,Media/DCIM/108APPLE/IMG_8767.JPG,07/01/2023,07/01/2023
47,Media/DCIM/108APPLE/IMG_8789.JPG,15/08/2022,15/08/2022
48,Media/DCIM/108APPLE/IMG_8797.JPG,15/08/2022,15/08/2022
49,Media/DCIM/108APPLE/IMG_8804.JPG,02/02/2023,02/02/2023
50,Media/DCIM/108APPLE/IMG_8806.JPG,01/10/2022,01/10/2022
51,Media/DCIM/109APPLE/IMG_9024.JPG,17/09/2022,17/09/2022
52,Media/DCIM/109APPLE/IMG_9034.JPG,12/09/2022,12/09/2022
53,Media/DCIM/109APPLE/IMG_9074.JPG,15/08/2022,15/08/2022
54,Media/DCIM/109APPLE/IMG_9098.JPG,20/08/2022,20/08/2022
55,Media/DCIM/109APPLE/IMG_9101.JPG,20/08/2022,20/08/2022
56,Media/DCIM/109APPLE/IMG_9258.JPG,15/08/2022,15/08/2022
57,Media/DCIM/109APPLE/IMG_9523.HEIC,07/01/2023,07/01/2023
58,Media/DCIM/109APPLE/IMG_9684.JPG,15/08/2022,15/08/2022
59,Media/DCIM/109APPLE/IMG_9701.JPG,09/02/2023,09/02/2023
60,Media/DCIM/109APPLE/IMG_9711.JPG,31/12/2022,31/12/2022
61,Media/DCIM/109APPLE/IMG_9714.JPG,17/09/2022,17/09/2022
