id,url,domain_expansion,visit_count,daily_visit_counts,weekly_visit_counts,autocomplete_triggers,should_recompute_derived_visit_counts,visit_count_score,status_code
14158,https://www.google.es/search?q=traductor+google&ie=UTF-8&oe=UTF-8&hl=es-es&client=safari,,2,b'd\x00\x00\x00',,,0,100,200
14753,https://www.google.es/search?q=olga+camargo+opiniones&ie=UTF-8&oe=UTF-8&hl=es-es&client=safari,,11,b'd\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00d\x00\x00\x00d\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00d\x00\x00\x00\xa0\x00\x00\x00',,,0,560,200
14754,"https://www.google.es/search?q=olga+camargo+opiniones&ie=UTF-8&oe=UTF-8&hl=es-es&client=safari#lkt=LocalPoiReviews&trex=m_t:lcl_akp,rc_ludocids:6208548559626866138,rc_q:olga%2520camargo%2520opiniones,ru_gwp:0%252C7,ru_q:olga%2520camargo%2520opiniones,trex_id:WoFCN",,4,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00d\x00\x00\x00\xa0\x00\x00\x00',,,0,260,200
14755,"https://www.google.es/search?q=olga+camargo+opiniones&ie=UTF-8&oe=UTF-8&hl=es-es&client=safari#lkt=LocalPoiReviews&trex=m_t:lcl_akp,rc_ludocids:6208548559626866138,rc_q:olga%2520camargo%2520opiniones,ru_gwp:0%252C7,ru_q:olga%2520camargo%2520opiniones,trex_id:WoFCN&lpg=cid:CgIgAQ%3D%3D",,19,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00d\x00\x00\x00\xa0\x00\x00\x00',,,0,260,200
14830,https://vilarovira.com/instituto-del-pelo/,vilarovira,5,b'd\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xc8\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xa0\x00\x00\x00',"b'bplist00\xa1\x01_\x10\x15institut vila rovira \x08\n\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x02\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00""'",0,460,200
15053,https://www.google.es/search?q=olga+camargo&ie=UTF-8&oe=UTF-8&hl=es-es&client=safari,,7,b'd\x00\x00\x00\x00\x00\x00\x00d\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00d\x00\x00\x00',,,0,300,200
15055,https://www.google.es/search?q=olga+camargo&ie=UTF-8&oe=UTF-8&hl=es-es&client=safari#wptab=s:H4sIAAAAAAAAAONgVuLVT9c3NEwySzHIMc4xe8RowS3w8sc9YSn9SWtOXmPU5OIKzsgvd80rySypFJLmYoOyBKX4uVB18uxi4vfJT07MCcjPDEoty0wtL17EKpqfk56okJyYm1iUnq9QlFqcenhjYjEABTp24XYAAAA,,3,b'd\x00\x00\x00\x00\x00\x00\x00d\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00d\x00\x00\x00',,,1,200,200
15136,https://www.yelmocines.es/,,1,b'd\x00\x00\x00',,,0,100,200
15169,https://www.inpost.es/buscar-el-punto-pack-mas-cercano/,,1,b'd\x00\x00\x00\x00\x00\x00\x00d\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00d\x00\x00\x00',,,0,300,200
15181,https://yelmocines.es/cartelera-vo/madrid,,2,b'\x04\x01\x00\x00',,,1,160,200
