history_item,tag_id,timestamp
15265,40,696461715.040516
15269,610,696543047.385526
15272,704,696613282.687267
15273,387,696617674.306412
15282,602,696685494.760515
15288,705,696692875.829533
15290,41,696693579.459194
15291,41,696693580.267319
15291,40,696693585.913883
15308,706,696844119.833886
15310,41,696844131.406451
15312,41,696844887.905302
15313,698,696844984.173058
15313,41,696845050.755904
14755,707,696859644.646723
15328,708,697065588.414
15329,708,697065590.205364
15332,710,697098953.056353
15330,709,697099061.330072
15333,450,697099068.938278
15335,590,697099083.894517
15340,449,697099144.031491
15345,26,697283364.931137
15347,276,697295459.926642
15349,629,697367119.371829
14830,158,697367269.740692
15356,158,697391087.62452
15355,13,697391096.110375
15361,251,697533309.845214
15370,5,697625687.718875
15404,711,697931422.625474
15405,712,697994133.985255
15411,381,698012461.170909
15413,381,698017741.075553
15417,365,698073626.482212
15418,365,698073671.099394
15419,125,698076173.310924
15420,713,698076270.880001
15423,713,698076436.130942
15424,713,698078932.085394
15427,13,698078990.754898
15224,13,698078992.617378
15442,714,698091325.375113
15467,715,698188259.617354
15468,716,698188269.060133
15469,708,698188384.40621
15479,531,698188595.539051
15480,531,698188597.057469
15481,531,698188598.826238
15482,531,698188601.619841
15483,531,698188603.999414
15484,531,698188606.646984
15478,531,698188614.315352
15485,717,698227647.169636
15491,718,698229211.717498
15506,719,698238649.052616
15500,720,698239993.588807
15502,721,698257162.391476
15515,162,698335073.097099
