id,history_item,visit_time,title,load_successful,http_non_get,synthesized,redirect_source,redirect_destination,origin,generation,attributes,score
25335,15181,2023-01-18 17:15:39.183378,,1,0,0,,,0,6877,0,100
25336,15182,2023-01-18 17:15:48.734667,cine yelmo reclamaciones - Buscar con Google,1,0,0,,,0,6877,0,100
25337,15182,2023-01-18 17:15:49.418631,cine yelmo reclamaciones - Buscar con Google,1,0,0,,,0,6877,3,0
25338,15183,2023-01-18 17:17:03.368717,Reclamaciones contra YELMO CINES | OCU,1,0,0,,,0,6877,0,100
25339,15184,2023-01-18 17:21:39.797212,Devolución entradas yelmo cines - Buscar con Google,1,0,0,,,0,6877,0,100
25340,15184,2023-01-18 17:21:40.404645,Devolución entradas yelmo cines - Buscar con Google,1,0,0,,,0,6877,3,0
25341,15185,2023-01-18 17:21:53.376719,No devolución o cambio de entradas - Reclamación a YELMO CINES - Enviada a través de OCU,1,0,0,,,0,6877,0,100
25342,15186,2023-01-18 17:26:38.378511,Yelmo Cines y las entradas online que nunca lleguen: “Recuperar el dinero es desesperante”,1,0,0,,,0,6877,0,100
25343,15186,2023-01-18 17:26:38.704709,Yelmo Cines y las entradas online que nunca lleguen: “Recuperar el dinero es desesperante”,1,0,0,,,0,6877,3,0
25344,15181,2023-01-18 17:27:07.133414,,1,0,0,,,0,6877,8,60
25345,15187,2023-01-18 17:27:43.362737,Cine Yelmo,1,0,0,,,0,6877,0,100
25346,15187,2023-01-18 17:28:17.515922,,1,1,0,,,0,6877,2,0
25347,15187,2023-01-18 17:30:15.147394,Cine Yelmo,1,1,0,,,0,6877,4,25
25348,15188,2023-01-18 17:41:22.500420,,1,0,0,,25349.0,0,6877,0,100
25349,15189,2023-01-18 17:41:22.504705,Home - Programa Mia,1,0,0,25348.0,,0,6877,0,100
25350,15190,2023-01-18 17:41:24.954636,Home - Programa Mia,1,0,0,,,0,6877,1,0
25351,15053,2023-01-19 09:49:50.935494,olga camargo - Buscar con Google,1,0,0,,,0,6877,0,100
25352,15053,2023-01-19 09:49:51.801441,olga camargo - Buscar con Google,1,0,0,,,0,6877,3,0
25353,15055,2023-01-19 09:49:53.187444,olga camargo - Buscar con Google,1,0,0,,,0,6877,1,0
25354,15053,2023-01-19 09:50:25.191822,olga camargo - Buscar con Google,1,0,0,,,0,6877,2,0
25355,15191,2023-01-19 21:38:24.486097,,1,0,0,,,0,6878,0,100
25356,15192,2023-01-19 21:38:25.599979,ANTICS ALUMNES ESCOLÀPIES SABADELL,1,0,0,,,0,6878,0,100
25357,15192,2023-01-19 21:38:25.999734,ANTICS ALUMNES ESCOLÀPIES SABADELL,1,0,0,,,0,6878,3,0
25358,15193,2023-01-19 21:38:26.051129,ANTICS ALUMNES ESCOLÀPIES SABADELL,1,0,0,,,0,6878,1,0
25359,15194,2023-01-19 21:38:43.055660,ANTICS ALUMNES ESCOLÀPIES SABADELL,1,0,0,,,0,6879,1,0
25360,15195,2023-01-19 21:38:43.454012,ANTICS ALUMNES ESCOLÀPIES SABADELL,1,1,0,,,0,6879,0,100
25361,15195,2023-01-19 21:38:43.684473,ANTICS ALUMNES ESCOLÀPIES SABADELL,1,1,0,,,0,6879,3,0
25362,15196,2023-01-19 21:38:43.734214,ANTICS ALUMNES ESCOLÀPIES SABADELL,1,1,0,,,0,6879,1,0
25363,15195,2023-01-19 21:39:44.558707,ANTICS ALUMNES ESCOLÀPIES SABADELL,1,1,0,,,0,6879,4,25
25364,15195,2023-01-19 21:39:44.677607,ANTICS ALUMNES ESCOLÀPIES SABADELL,1,1,0,,,0,6879,3,0
25365,15195,2023-01-19 21:39:44.705074,ANTICS ALUMNES ESCOLÀPIES SABADELL,1,1,0,,,0,6879,3,0
25366,15197,2023-01-20 13:54:44.172397,la isla de las tentaciones 6 - Buscar con Google,1,0,0,,,0,6880,0,100
25367,15197,2023-01-20 13:54:45.012914,la isla de las tentaciones 6 - Buscar con Google,1,0,0,,,0,6880,3,0
25368,15198,2023-01-20 13:54:48.142234,"Ver 'Rumbo a La Isla de las Tentaciones 6', (18/01/23), online y completo",1,0,0,,,0,6880,0,100
25369,15198,2023-01-20 13:54:48.648823,"Ver 'Rumbo a La Isla de las Tentaciones 6', (18/01/23), online y completo",1,0,0,,,0,6880,3,0
25370,15199,2023-01-20 13:56:07.364430,,1,0,0,,25371.0,0,6883,0,100
25371,15200,2023-01-20 13:56:07.368436,Special K | Kellogg's,1,0,0,25370.0,,0,6883,0,100
25372,15201,2023-01-21 08:26:39.671661,La nueva jornada laboral que puede llegar a España sin reducción de sueldo,1,0,0,,,0,6925,0,100
25373,15202,2023-01-21 08:27:57.152220,,1,0,0,,25374.0,0,6928,0,100
25374,15203,2023-01-21 08:27:57.153164,Inicia sesión en tu cuenta PayPal,1,0,0,25373.0,,0,6928,0,100
25375,15204,2023-01-21 08:28:13.840308,,1,1,0,,25376.0,0,6930,0,100
25376,15205,2023-01-21 08:28:13.842340,PayPal,1,0,0,25375.0,,0,6930,0,100
25377,15206,2023-01-21 08:28:19.321582,PayPal,1,1,0,,,0,6931,1,0
25378,15207,2023-01-21 08:28:55.178047,PayPal,1,1,0,,,0,6931,1,0
25379,15208,2023-01-21 18:55:51.305652,javo dog sbadell - Buscar con Google,1,0,0,,,0,6936,0,100
25380,15208,2023-01-21 18:55:51.929153,javo dog sbadell - Buscar con Google,1,0,0,,,0,6936,3,0
25381,15209,2023-01-21 19:53:59.423981,triaction by triumph - Buscar con Google,1,0,0,,,0,6937,0,100
25382,15209,2023-01-21 19:54:00.245752,triaction by triumph - Buscar con Google,1,0,0,,,0,6937,3,0
25383,15210,2023-01-21 19:54:16.013067,,1,0,0,,25384.0,0,6937,0,100
25384,15211,2023-01-21 19:54:16.013714,TRIACTION WELLNESS - Sujetador deportivo sin aros,1,0,0,25383.0,,0,6937,0,100
25385,15212,2023-01-21 22:08:13.417179,viladecans outlet - Buscar con Google,1,0,0,,,0,6938,0,100
25386,15212,2023-01-21 22:08:14.032239,viladecans outlet - Buscar con Google,1,0,0,,,0,6938,3,0
25387,15213,2023-01-21 22:08:15.120722,viladecans outlet - Buscar con Google,1,0,0,,,0,6938,1,0
25388,15214,2023-01-21 22:08:15.799837,viladecans outlet - Buscar con Google,1,0,0,,,0,6938,1,0
